Drug Name,BW,C,W,P,AR,PPI-MG,Month
Lidocaine Hydrochloride (4% and 8%) and Dextrose 5% Injection,,,,,,,1/1/2014
"Lidocaine in 5% Dextrose Injection, USP",,,,,,,3/1/2012
Lidoderm (lidocaine 5%) patch,,,,,,,4/1/2010
"Lincocin (lincomycin hydrochloride injection, USP) Sterile Solution",,,X,X,,,10/1/2014
Linzess (linaclotide) capsules,,,,,,,7/1/2014
Lioresal (baclofen) intrathecal,,,,,,,3/1/2011
Lioresal Intrathecal (baclofen injection),,,,,,,11/1/2011
Lipitor (atorvastatin calcium) Tablets,,,,,X,,3/1/2015
Lipitor (atorvastatin calcium) Tablets,,,,,,,2/1/2012
"Lipofen (fenofibrate) Capsules, 50 mg and 150 mg",,,,,,,1/1/2013
"Lithium Carbonate 150 mg, 300 mg, and 600 mg capsules",,,,,,,10/1/2011
Lithobid (lithium carbonate) Extended-Release tablets,,,,,,,10/1/2011
Livalo (pitavastatin) Tablets,,,,,,,10/1/2013
Lodosyn (carbidopa),,,,,,,2/1/2014
Loniten (minoxidil) Tablets,,,,X,X,,1/1/2015
Lopid (gemfibrozil) Capsules,,,,,,,10/1/2013
Lopid (gemfibrozil) Tablets,,,X,X,,,11/1/2014
Lopid (gemfibrozil) tablets,,,,,,,9/1/2010
Lopid (gemfibrozil) tablets,,,,,,,7/1/2009
"Lopressor (metoprolol tartrate) 50 mg / 100 mg Tablets
Lopressor (metoprolol tartrate) 5 mg / 5 ml injection",,,,,,,3/1/2013
Lopressor (metoprolol tartrate) tablets and ampules for injection,,,,,,,11/1/2009
Lopressor HCT (metoprolol tartrate and hydrochlorothiazide) tablets,,,,,,,8/1/2009
Lotensin (benazepril hydrochloride) Tablets,,X,,,,,1/1/2015
Lotensin (benazepril hydrochloride) tablets,,,,,,,11/1/2009
"Lotensin (benazepril hydrochloride) Tablets 

*RAS Dual Blockade",,,,X,,,12/1/2014
"Lotensin HCT (20033) (benazepril hydrochloride/hydrochlorothiazide USP Combination Tablets) 

*RAS Dual Blockade",,,,X,,,12/1/2014
Lotensin HCT (benazapril hydrochloride/hydorchlorothiazide) tablets,,,,,,,3/1/2011
Lotensin HCT (benazepril/hydrochlorothiazide) tablets,,,,,,,11/1/2009
Lotrel (amlodipine besylate and benazepril hydrochloride) Capsules,,,X,X,,,4/1/2015
Lotrel (amlodipine besylate and benazepril hydrochloride) Capsules,,,,,,,10/1/2011
"Lotrel (amlodipine besylate and benazepril hydrochloride) Capsules 

*RAS Dual Blockade",,,,X,,,12/1/2014
Lotrel (amlodipine besylate/benazapril hydrochloride) capsule,,,,,,,3/1/2010
Lotrel (amlodipine besylate/benazapril hydrochloride) Capsules,,,,,,,1/1/2011
Lotrel (amlodipine besylate/benazepril hydrochloride) capsules,,,,,,,10/1/2009
Lotrel (amlodipine besylate/benazepril hydrochloride) Tablets,,,,X,,,5/1/2015
Lotrisone (clotrimazole and betamethasone dipropionate) Cream and Lotion,,,,,,,5/1/2009
Lovaza (omega 3-acid ethyl esters) Capsules,,,,,,,9/1/2012
Lovaza (omega-3-acid ethyl esters) capsules,,,,,,,9/1/2009
Lovenox (enoxaparin sodium) injection,,,,,,,10/1/2013
Lovenox (enoxaparin sodium) injection,,,,,,,7/1/2009
Lovenox (enoxaparin sodium) injection,,,,,,,12/1/2009
Lozol (indapamide) 1.25 and 2.5mg tablets,,,,,,,9/1/2009
Lumigan (bimatoprost ophthalmic solution),,,,,,,3/1/2012
"Lumigan (bimatoprost ophthalmic solution), 0.01 percent",,,X,X,X,,9/1/2014
"Lumigan (bimatoprost ophthalmic solution), 0.03 percent",,,X,X,,,9/1/2014
Lumizyme (aglucosidase alfa),X,,X,X,X,PCI,9/1/2014
Lumizyme (alglucosidase alfa),,,,,,,5/1/2014
Lumizyme (alglucosidase alfa),,,,,,,7/1/2012
Lunesta (eszopiclone) Film Coated Oral Tablets,,,,,,,2/1/2014
Lunesta (eszopiclone) tablets,,,,,,,5/1/2014
Lupron (leuprolide acetate) Injection,,,,,,,7/1/2014
Lupron (leuprolide acetate) injection,,,,,,,3/1/2011
Lupron and Lupron Depot (leuprolide acetate) injection,,,,,,,4/1/2010
Lupron Depot (Leuprolide Acetate for Depot Suspension),,,,,,,7/1/2013
Lupron Depot (leuprolide acetate for depot suspension),,,,,,,7/1/2012
Lupron Depot (leuprolide acetate for depot suspension) 3.75 mg and 11.25 mg Injection,,,,,,,6/1/2009
Lupron Depot (leuprolide acetate) for depot suspension,,,,,,,6/1/2014
Lupron Depot (leuprolide acetate) suspension,,,,,,,6/1/2011
Luvox (fluvoxamine) Tablets,,,,,,,11/1/2012
Luvox CR (fluvoxamine maleate) Extended-Release Capsules,,,,,,,11/1/2012
Lyrica (pregabalin) capsules and oral solution,,,,,,,6/1/2011
Lyrica (pregabalin) Capsules and Oral Solution,,,,,,,8/1/2011
Lysodren (Mitotane) Tablets,,,,,,,11/1/2013
Lysteda (tranexamic acid) Tablets,,,,,,,10/1/2013
Lysteda (tranexamic acid) Tablets,,,,,,,4/1/2011
Macrobid (nitrofurantoin monohydrate 75 mg/nitrofurantoin macrocrystals 25 mg) Capsules,,,,,,,9/1/2013
Macrodantin (nitrofurantoin macrocrystals) Capsules,,,,,,,9/1/2013
Macugen (pegaptanib sodium injection),,,,,,,10/1/2011
"Magnesium Sulfate in dextrose 5 percent injection, USP",,,,,,,5/1/2013
"Magnesium Sulfate in Water for Injection, USP, in Flexible Plastic Container",,,,,,,5/1/2013
"Magnesium Sulfate Injection, USP, 50 percent",,,,,,,5/1/2013
Magnevist (brand of gadopentetate dimeglumine) Injection and Pharmacy Bulk Package,,,,,,,3/1/2012
Magnevist (gadopentetate dimeglumine) Injection and Magnevist Pharmacy Bulk Package Injection,,,,,,,10/1/2013
Makena (hydroxyprogesterone caproate injection) 250ml/mg,,,,,,,9/1/2013
Malarone (atovaquone and proguanil hydrochloride) tablets,,,,,,,9/1/2009
"Marcaine and Marcaine with Epinephrine Injection
Marcaine Spinal Injection
Bupivacaine hydrochloride and epinephrine bitartrate injection",,,,,,,1/1/2012
"Mavik (trandolapril tablets)

*RAS Dual Blockade",,,,X,,,12/1/2014
"Mavik (trandolapril) 1 mg, 2 mg and 4 mg Tablets",,,,,,,9/1/2011
"Mavik (trandolapril) 1 mg, 2 mg, and 4 mg Tablets",,,,,,,1/1/2012
Mavik (trandolapril) tablets,,,,,,,4/1/2010
"Maxipime (cefepime hydrochloride) 500 mg, 1g, 2g per vial powder for injection",,,,,,,9/1/2009
Maxipime (cefepime hydrochloride) for Injection,,,,,,,9/1/2012
"Maxipime (cefepime hydrochloride, USP) for Injection",,,,,,,3/1/2013
Maxzide (triamterene/hydrochlorothiazide) and Maxzide-25 tablets,,,,,,,3/1/2011
"Megace ES (megestrol acetate) oral suspension, 125 mg/mL",,,,,X,,9/1/2014
"Megace ES (megestrol acetate) Oral Suspension, 625 mg/5 ml",,,,,,,5/1/2013
MembraneBlue (trypan blue ophthalmic solution) 0.15 percent,,,X,X,,,9/1/2014
Menopur (menotropins for injection),,,,,,,2/1/2014
Menostar (estradiol) transdermal system,,,,,,,10/1/2013
"Meridia (sibutramine hydrochloride monohydrate) 5, 10, and 15 mg Capsules",,,,,,,5/1/2009
Meridia (sibutramine hydrochloride) capsules,,,,,,,3/1/2010
Meridia (sibutramine hydrochloride) capsules,,,,,,,8/1/2010
Merrem (meropenem) I.V. for injection,,,,,,,8/1/2009
Merrem I.V. (meropenem for Injection),,,,X,X,,12/1/2014
Merrem I.V. (meropenem for injection),,,,,,,3/1/2013
"Metadate CD (methylphenidate HCl) Extended-Release Capsules

*rhabdomyolysis",,,,,X,,4/1/2015
Metaglip (glipizide/metformin hydrochloride fixed-dose combination) tablets,,,,,,,10/1/2013
Metastron (Strontium-89 Chloride) Injection,,,,,,,12/1/2013
Methotrexate Sodium for Injection,,,,,,,11/1/2011
"Methylin (methylphenidate) Chewable Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
"Methylin (methylphenidate) Oral Solution 

*rhabdomyolysis",,,,,X,,4/1/2015
"Metopirone (metyrapone USP) 250 mg, Capsules",,,,,,,11/1/2010
Metozolv ODT (metoclopramide hydrochloride),,,,,,,11/1/2010
Metvixia (methyl aminolevulinate HCl) Cream,,,,,,,11/1/2012
Mevacor (lovastatin),,,,,,,2/1/2014
Miacalcin (calcitonin-salmon) Injection,,,,,X,,2/1/2015
Miacalcin (calcitonin-salmon) injection,,,,,,,10/1/2009
Miacalcin (calcitonin-salmon) nasal spray,,,,,,,10/1/2009
"Miacalcin (calcitonin-salmon) Nasal Spray and Injection, Synthetic",,,,,,,3/1/2014
"Micardis (telmisartan) 1 20 mg, 40 mg, and 80 mg Tablets",,,,,,,1/1/2012
"Micardis (telmisartan) 1 20, 40, and 80 mg Tablets",,,,,,,9/1/2012
Micardis (telmisartan) Tablets,,,X,X,,,12/1/2014
Micardis (telmisartan) Tablets,,,,,,,7/1/2011
Micardis (telmisartan) tablets and Micardis HCT (telmisartan/HCTZ) tablets,,,,,,,8/1/2009
Micardis HCT (telmisartan and hydrochlorothiazide) Tablets,,,,X,,,12/1/2014
"Micardis HCT (telmisartan/hydrochlorothiazide) 40/12.5 mg, and 80/12.5 mg, and 80/25 mg Tablets",,,,,,,1/1/2012
Micardis HCT (telmisartan/hydrochlorothiazide) Tablets,,,,,,,1/1/2012
Micardis HCT (telmisartan/hydrochlorothiazide) Tablets,,,,,,,5/1/2011
Micronase (glyburide) Tablets,,,,X,,,5/1/2015
Micronase (glyburide) tablets,,,,,,,10/1/2013
Micronor (norethindrone) Tablets,,,,,,,6/1/2014
Microzide (hydrochlorothiazide) capsules,,,,,,,3/1/2011
"Minipress (prazosin hydrochloride) 1, 2, and 5 mg capsules",,,,,,,7/1/2009
Minipress (prazosin hydrochloride) Capsules,,,X,,,,2/1/2015
"Minivelle (estradiol transdermal system) 0.025 mg/day, 0.0375 mg/day, 0.05 mg/day, 0.075 mg/day, and 0.1 mg/day",,,X,X,X,,9/1/2014
Minocin (minocycline for injection) Intravenous,,,X,,,,10/1/2014
Minocin (minocycline hydrochloride) Oral Suspension,,,X,,,,2/1/2015
Minocin (minocycline hydrochloride) Pellet-filled Capsules,,,X,,,,3/1/2015
"Minocin (minocycline hydrochloride) pellet-filled capsules, intravenous, and oral suspension",,,,,,,9/1/2010
Mirapex (pramipexole dihydrochloride),,,,,,,7/1/2012
Mirapex (pramipexole dihydrochloride) Tablets and Mirapex ER (pramipexole dihydrochloride) Extended Release Tablets,,,,,,,3/1/2013
Mircera (methoxy polyethylene glycol-epoetin beta),X,X,X,X,,,10/1/2014
Mircette (desogestrel/ethinyl estradiol and ethinyl estradiol) Tablets,,,,,,,7/1/2012
Mobic (meloxicam) Tablets and Oral Suspension,,,,,,,3/1/2012
Mobic (meloxicam) Tablets and Oral Suspension,,,,,,,8/1/2011
"Mobic (meloxicam) Tablets, Oral Suspension",,,,,,,7/1/2011
Modicon (norethindrone/ethinyl estradiol),,,,,,,10/1/2013
Modicon (norethindrone/ethinyl estradiol),,,,,,,6/1/2012
Monodox (doxycycline monohydrate) capsules,,,,,,,10/1/2013
Monodox (doxycycline monohydrate) capsules,,,,,,,3/1/2011
Monoket (isosorbide mononitrate) Tablets,,X,,X,,,10/1/2014
"Morphine Sulfate Oral Solution, 10 mg/5 mL, 1 20 mg/5 mL, and 100 mg/5 mL",,,,,,,1/1/2012
"Morphine Sulfate Tablets, 15 mg and 30 mg",,,,,,,1/1/2012
"MoviPrep (PEG-3350, Sodium Sulfate, Sodium Chloride, Potassium Chloride, Sodium Ascorbate, and Ascorbic Acid for Oral Solution)",,,,,,,9/1/2013
"MoviPrep (PEG-3350, Sodium Sulfate, Sodium Chloride, Potassium Chloride, Sodium Ascorbate, and Ascorbic Acid for Oral Solution)",,,,,,,12/1/2013
"MoviPrep (PEG-3350, Sodium Sulfate, Sodium Chloride, Potassium Chloride,
Sodium Ascorbate, and Ascorbic Acid for Oral Solution)",,,,,,,4/1/2011
"MoviPrep (PEG-3350, Sodium Sulfate, Sodium Chloride, Potassium Chloride,Sodium Ascorbate, and Ascorbic Acid for Oral Solution)",,,,,,,11/1/2010
"Mozobil (plerixafor injection), Solution for Subcutaneous Use",,,,,X,,12/1/2014
MS Contin (morphine sulfate) controlled-release tablets,,,,,,,5/1/2010
Multaq (dronedarone hydrochloride) 400 mg Tablets,,,,,,,1/1/2014
Multaq (dronedarone hydrochloride) 400 mg Tablets,,,,,,,1/1/2012
Multaq (dronedarone hydrochloride) 400 mg Tablets,,,,,,,9/1/2012
Multaq (dronedarone hydrochloride) Tablets,,,,,,,3/1/2013
Multaq (dronedarone hydrochloride) Tablets,,,,,,,1/1/2011
Multaq (dronedarone hydrochloride) Tablets,,,,,,,2/1/2011
Multaq (dronedarone hydrochloride) tablets,,,,,,,3/1/2011
Multaq (dronedarone hydrochloride) tablets,,,,,,,6/1/2011
Multaq (dronedarone hydrochloride) Tablets,,,,,,,8/1/2011
Multaq (dronedarone hydrochloride) tablets,,,,,,,12/1/2011
MultiHance (gadobenate dimeglumine) injection,,,,,,,9/1/2011
MultiHance (gadobenate dimeglumine) injection,,,,,,,10/1/2009
MultiHance (gadobenate dimeglumine) Injection and MultiHance Multipack (gadobenate dimeglumine) Injection,,,,,,,7/1/2013
Mycamine (micafungin sodium) for injection,,,,,,,6/1/2011
Mycobutin (rifabutin) Capsules,,,,X,X,,11/1/2014
Myfortic (mycophenolic acid) 180 mg and 360 mg delayed-release tablet,,,,,,,7/1/2009
Myfortic (mycophenolic acid) Delayed-Release Tablets,,,,,,,9/1/2013
Myfortic (mycophenolic acid) delayed-release tablets,,,,,,,9/1/2012
Myfortic (mycophenolic acid) delayed-release tablets,,,,,,,10/1/2009
Myozyme (alglucosidase alfa),,,,,,,5/1/2014
Myozyme (alglucosidase alfa),,,,,,,7/1/2012
Mytelase (ambenonium chloride) Tablets,,,,X,X,,11/1/2014
Mytelase (ambenonium chloride) Tablets,,,,,,,11/1/2011
"Naftin (naftifine hydrochloride) gel, cream",,,,X,,,10/1/2014
Naglazyme (galsulfase),,,,,,,3/1/2013
Namenda (memantine hydrochloride) tablets,,,,,,,10/1/2013
"Namenda XR (memantine hydrochloride extended-release) Capsule, 7 mg, 14 mg, 21 mg, and 28 mg",,,,X,X,,9/1/2014
Namenda XR (Memantine Hydrochloride Extended-Release) Capsules,,,,,,,7/1/2014
Naprosyn (naproxen tablets),,,,,,,3/1/2013
Natazia (estradiol valerate and estradiol valerate/dienogest) tablets,,,,,,,2/1/2012
"Natesto (testosterone) Nasal Gel

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
Natrecor (nesiritide) for Injection,,,,,,,7/1/2012
Natrecor (nesiritide) for Injection,,,,,,,6/1/2009
NebuPent (pentamidine isethionate),,,,,,,2/1/2011
"NegGram (Nalidixic acid, USP) Caplet",,,,,,,11/1/2012
"Neoral (cyclosporine capsules, modified) soft gelatin capsule and oral solution",,,,,,,9/1/2009
Neoral (cyclosporine) Modified soft gelatin capsules and oral solution,,,,,,,10/1/2009
"Neoral (cyclosporine) Soft Gelatin Capsules, Oral Solution",,,,X,X,,3/1/2015
"Neoral Soft Gelatin Capsules (cyclosporine capsules, USP) 
Neoral Oral Solution (cyclosporine oral solution, USP)",,,,,,,5/1/2013
Neulasta (pegfigrastim) injection,,,,,,,6/1/2011
Neupogen (filgrastim),,,,,,,9/1/2013
Neupogen (filgrastim),,,,,,,5/1/2012
Neupogen (filgrastim),,,,,,,6/1/2010
Neupro Patch (rotigotine) Transdermal System,,,X,X,X,,2/1/2015
"Neurontin (gabapentin) capsules, tablets, and oral solution",,,,,,,3/1/2011
"Neurontin (gabapentin) Capsules, Tablets, and Oral Solution",,,,,,,8/1/2011
Nexavar (sorafenib tosylate) tablets,,,,,,,10/1/2013
Nexavar (sorafenib tosylate) tablets,,,,,,,3/1/2011
Nexavar (sorafenib),,,,,,,10/1/2011
Nexavar (Sorafenib) Tablets,,,,,,,11/1/2013
"Nexium (esomeprazole magnesium) capsules, oral suspension, and for injection",,,,,,,3/1/2010
"Nexium (esomeprazole magnesium) Delayed-Release Capsules, 1 20 mg and 40 mg; 
Delayed-Release Oral Suspension, 10 mg, 1 20 mg, and 40 mg",,,,,,,1/1/2012
"Nexium (esomeprazole magnesium) delayed-release capsules, for oral use",,X,X,X,,,12/1/2014
Nexium (esomeprazole magnesium) Delayed-Release Oral Suspension,,,,,,,2/1/2014
Nexium (esomeprazole magnesium) for Delayed Release Oral Suspension,,,,,,,6/1/2009
"Nexium (esomeprazole magnesium) for delayed-release oral suspension,  delayed-release capsules and (esomeprazole sodium) for injection",,,,,,,6/1/2011
Nexium (esomeprazole sodium) For Injection,,,,,,,1/1/2012
"Nexium (esomeprazole sodium) for Intravenous Injection, Delayed-Release Capsules, and Delayed-Release Oral Suspension",,,,,,,3/1/2014
Nexium I.V. (esomeprazole sodium) for injection,,X,X,X,,,12/1/2014
Nexium I.V. (esomeprazole sodium) for Intravenous Injection,,,,,,,2/1/2014
"Nexplanon (etonogestrel implant), Radiopaque, Subdermal Use Only",,,,,,,7/1/2014
Nexplanon (etonogestrel) implants,,,,,,,5/1/2014
Nexterone (amiodarone) Premixed Injection,,,X,X,X,,3/1/2015
Niaspan (niacin) extended release tablets,,,,,,,2/1/2010
Nicorette (nicotine polacrilex) 2 mg and 4mg gum [OTC],,,,,,,9/1/2011
Nicorette (nicotine polacrilex) Gum,,,,,,,8/1/2014
Nicorette (nicotine polacrilex) Lozenges,,,X,,,,5/1/2015
Nitro-Dur (nitroglycerin) Transdermal Infusion System,,X,,X,,,10/1/2014
Nitroglycerin 5 Percent  in Dextrose for Injection,,X,,X,,,10/1/2014
Nitrolingual Pumpspray (nitroglycerin) Spray,,X,X,X,X,,1/1/2015
"Nitrostat (nitroglycerin USP) 0.3, 0.4, 0.6 mg Sublingual Tablets",,,,,,,4/1/2014
"Nitrostat (nitroglycerin, USP) Sublingual Tablets",,,,,,,7/1/2011
Nizoral (ketoconazole) 2% shampoo,,,,,,,10/1/2013
Nizoral (Ketoconazole) 2% Shampoo,,,,,,,12/1/2012
Nizoral (ketoconazole) 2% shampoo,,,,,,,8/1/2009
Nizoral (ketoconazole) Tablet,,,,,,,2/1/2014
Nizoral (ketoconazole) Tablets,,,,,,,7/1/2013
Norditropin Cartridges (somatropin [rDNA origin] injection),,,X,X,,,9/1/2014
Norditropin Cartridges (somatropin [rDNA origin] injection),,,,,,,5/1/2011
Noroxin (norfloxacin) Tablets,,,,,,,3/1/2013
Noroxin (norfloxacin) tablets,,,,,,,9/1/2011
Noroxin (norfloxacin) Tablets,,,,,,,10/1/2011
Norpramin (desipramine hydrochloride) Tablets,,,,,,,11/1/2012
Norpramin (desipramine hydrochloride) tablets,,,,,,,10/1/2009
"Norvasc (amlodipine besylate) 2.5 mg, 5.0 mg and 10 mg Tablets",,,,,,,1/1/2013
Norvasc (amlodipine besylate) Tablets,,,,X,X,,3/1/2015
Norvasc (amlodipine besylate) Tablets,,,,,,,10/1/2011
Norvasc (amlodipine besylate) tablets,,,,,,,2/1/2010
Norvir (ritonavir) capsule and solution,,,,,,,11/1/2009
Norvir (ritonavir) Capsules,,,,,,,2/1/2012
"Norvir (ritonavir) Capsules, Oral Solution, Tablets

*HIV protease inhibitor drug-drug interactions",,,X,X,,,3/1/2015
"Norvir (ritonavir) Soft Gel capsules, tablets, and oral solution",,,,,,,12/1/2011
"Norvir (ritonavir) Soft Gelatin Capsules, Tablets and Oral Solution",,,,,,,11/1/2012
"Norvir (ritonavir) Tablets, Oral Solution, Soft Gelatin Capsules",,,,X,,PI,3/1/2015
Novantrone (mitoxantrone HCl) injection,,,,,,,6/1/2010
Novantrone (mitoxantrone) Injection,,,,,,,3/1/2012
"Novolin N (NPH, human insulin isophane suspension [rDNA origin]) injection 

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"NovoLog (insulin aspart [rDNA origin]) injection 

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"NovoLog Mix 50/50 (50% insulin aspart protamine suspension and 50% insulin aspart [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
NovoLog Mix 70/30 (70% insulin aspart protamine suspension and 30% insulin aspart [rDNA origin]) injection,,,,,,,5/1/2010
"NovoLog Mix 70/30 (70% insulin aspart protamine suspension and 30% insulin aspart [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Noxafil (Posaconazole) Delayed-release tablets and Oral Suspension,,,,,,,11/1/2013
Noxafil (posaconazole) oral suspension,,,,,,,9/1/2010
Nplate (romiplostim),,,,,,,11/1/2012
Nplate (romiplostim) for subcutaneous injection,,,,,,,8/1/2009
Nucynta (tapentadol) Immediate-Release (IR) Oral Tablets,,,,,,,7/1/2013
Nucynta (tapentadol) Immediate-release Oral Tablets,,,,,,,11/1/2010
Nucynta (tapentadol) immediate-release tablets,,,,,,,10/1/2013
Nucynta (tapentadol) Oral Solution,,,,,X,,11/1/2014
Nulojix (belatacept),,,,X,,,9/1/2014
Nulytely (PEG 3350 and electrolytes) for Oral Solution,,,,,,,9/1/2013
NuvaRing (etonogestrel/ethinyl estradiol vaginal ring),,,,,,MG,10/1/2014
NuvaRing (etonogestrel/ethinyl estradiol vaginal ring),,,,,,,10/1/2013
NuvaRing (etonogestrel/ethinyl estradiol) vaginal ring,,,,,,,6/1/2014
"Ocufen (flurbiprofen sodium ophthalmic solution, USP)",,,,,,,7/1/2012
Ofirmev (acetaminophen) Injection,,,,,,,10/1/2013
Oleptro (trazodone hydrochloride) Extended-Release Tablets,,,,,,,11/1/2012
"Olux-E (clobetasol propionate) Foam, 0.05 %",,,,,,,11/1/2010
Olysio (simeprevir) Capsules,,,X,X,X,,4/1/2015
"Olysio (simeprevir), 150 mg capsules",,,,X,,,9/1/2014
Omeclamox-Pak (omeprazole/clarithromycin/amoxicillin),,,X,X,,,12/1/2014
Omeprazole 1 20 mg delayed-release tablets,,,,,,,7/1/2010
Omeprazole delayed-release tablets [OTC generic],,,,,,,6/1/2011
Omeprazole/Sodium Bicarbonate/Magnesium Hydroxide Tablets,,,,,,,5/1/2012
"Omniscan (Gadodiamide) Injection,

Omniscan (Gadodiamide) Pharmacy Bulk Package Injection",,,,,X,,11/1/2014
Omnitrope (somatropin [rDNA origin] injection),,,,,,,4/1/2011
"Omnitrope (somatropin [rDNA origin] injection), for SUBCUTANEOUS use",,,,,,,8/1/2014
Oncaspar (pegaspargase),,,,,,,4/1/2014
"Ondansetron injection, premix for intravenous use",,,,,,,4/1/2010
Onfi (Clobazam) Tablets and Oral Suspension,,,,,,,11/1/2013
"Onfi (clobazam) tablets, for oral use
Onfi (clobazam) oral suspension",,X,,X,X,,12/1/2014
Onglyza (saxagliptin),,,,,,,5/1/2013
Onglyza (saxagliptin) Tablets,,,,,,,11/1/2011
Onglyza (saxagliptin) tablets,,,,,,,12/1/2011
"Opana ER (oxymorphone hydrochloride extended-release) Tablets, 5 mg, 7.5 mg, 10 mg, 15 mg, 1 20 mg, 30 mg, and 40 mg",,,,,,,1/1/2013
Opsumit (macitentan) Tablets,,,,,X,,4/1/2015
Optimark and Optimark Pharmacy Bulk Package Injection,,,,,,,5/1/2013
"OptiMARK Injection,

OptiMARK in Plastic Container,

OptiMARK Pharmacy Bulk Package Injection",,,,,X,,11/1/2014
Oracea (doxycycline) Capsules,,,,,,,7/1/2013
"Oralair (Sweet Vernal, Orchard, Perennial Rye, Timothy, and Kentucky Blue Grass Mixed Pollens Allergen Extract) Tablet for Sublingual Use",,X,X,X,,MG,10/1/2014
Orap (pimozide) 1 mg and 2 mg tablets,,,,,,,9/1/2011
Oraqix (lidocaine and prilocaine periodontal) gel,,,,,,,9/1/2010
Orencia (abatacept),,,X,X,,,12/1/2014
Ortho Evra (norelgestromin / ethinyl estradiol) transdermal system,,,,,,,7/1/2009
Ortho Evra (norelgestromin and ethinyl estradiol) transdermal system,,,,,,,7/1/2011
Ortho Evra (norelgestromin and ethinyl estradiol) transdermal system,,,,,,,12/1/2009
Ortho Evra (norelgestromin/ethinyl estradiol) transdermal system,,,,,,,3/1/2011
Ortho Evra (norelgestromin/ethinyl estradiol) transdermal system,,,,,,,4/1/2010
Ortho Evra (norelgestromin/ethinyl estradiol) transdermal system,,,,,,,9/1/2009
Ortho Novum (norethindrone/ethinyl estradiol),,,,,,,10/1/2013
Ortho Tri-Cyclen (norgestimate/ethinyl estradiol),,,,,,,10/1/2013
Ortho-Cept (desogestrel and ethinyl estradiol) Tablets,,,,,,,6/1/2012
Ortho-Cept (desogestrel/ethinyl estradiol),,,,,,,10/1/2013
Ortho-Cyclen (norgestimate/ethinyl estradiol),,,,,,,10/1/2013
Ortho-Novum (norethindrone/ethinyl estradiol) 1/35 Tablets,,,,,,,6/1/2012
Ortho-Novum (norethindrone/ethinyl estradiol) 7/7/7 Tablets,,,,,,,6/1/2012
OsmoPrep (sodium phosphate monobasic monohydrate and sodium phosphate dibasic anhydrous) tablets,,,,,,,10/1/2009
Osphena (ospemifene) Oral Tablets,,X,,,X,,2/1/2015
Ovidrel (choriogonadotropin alfa injection) prefilled syringe,,,,,,,6/1/2010
OxyContin (Oxycodone Hydrochloride Controlled-Release) Tablets,,,,,,,11/1/2010
OxyContin (oxycodone hydrochloride) Controlled-Release Tablets,,,,,,,10/1/2011
OxyContin (oxycodone hydrochloride) controlled-release tablets,,,,,,,9/1/2009
Oxytrol (oxybutynin transdermal system),,,,,,,1/1/2011
Ozurdex (dexamethasone intravitreal implant),,,,,,,2/1/2014
Ozurdex (dexamethasone intravitreal implant) 0.7 mg,,X,X,X,,MG,9/1/2014
Ozurdex (dexamethasone intravitreal implant) 0.7 mg,,,,,,,9/1/2012
PAH (aminohippurate sodium injection) vials,,,,,,,3/1/2011
Pamidronate disodium injection,,,,,,,7/1/2009
Paraplatin (carboplatin) for Injection,,,,,,,11/1/2010
Parlodel SnapTabs (bromocriptine mesylate) Tablets and Capsules,,,,,,,1/1/2012
Parnate (tranylcypromine sulfate) tablets,,,,,,,5/1/2010
Parnate (tranylcypromine sulfate) tablets,,,,,,,11/1/2009
Patanase (olopatadine hydrochloride) nasal spray,,,,,,,6/1/2009
"Paxil (paroxetine HCl) tablets, oral solution 
Paxil CR (controlled-release) tablets",,,,,,,3/1/2011
"Paxil (paroxetine HCl) tablets, oral solution and Paxil CR tablets",,,,,,,7/1/2011
PCE (erythromycin particles in tablets) 333 mg and 500 mg film coated tablets,,,,,,,2/1/2012
PCE (erythromycin particles in tablets) Dispertab Tablet,,,,,,,1/1/2011
Pegasys (peginterferon alfa-2a),X,X,X,X,,MG,9/1/2014
"Pegasys (peginterferon alfa-2a) Injection, for Subcutaneous Use",,,X,X,X,,3/1/2015
Pegasys (ß (peginterferon alfa-2a),,,,,,,2/1/2011
PegIntron (peginterferon alfa-2b),,,,,,,5/1/2013
"PegIntron (peginterferon alfa-2b) Injection, Powder for Solution for Subcutaneous Use",,,,,,,5/1/2009
"PegIntron (peginterferon alfa-2b), Injection for Subcutaneous Use",,,X,X,X,,5/1/2015
Pentasa (mesalamine) Controlled-Release Capsules,,,,,,,7/1/2013
Pentasa (mesalamine) Controlled-Release Capsules,,,,,,,12/1/2013
Pepcid (famotidine) Tablet,,,,,,,2/1/2014
Pepcid (famotidine) tablets,,,,,,,3/1/2010
Percodan (oxycodone and aspirin) tablets,,,,,,,3/1/2010
Percodan (oxycodone HCl and aspirin) tablets,,,,,,,7/1/2010
Perforomist (formoterol fumarate) Inhalation Solution,,,,,,,1/1/2012
Perforomist (formoterol fumarate) Inhalation Solution,,,,,,,2/1/2011
Perforomist (formoterol fumarate) inhalation solution,,,,,,,6/1/2010
